12345,aixas
12346,aixirivali
12347,aixirivall
12348,aixirvall
12349,aixovall
12350,andorra
12351,andorra la vella
12352,andorra-vieille
12353,andorre
12354,andorre-la-vieille
12355,andorre-vieille
12356,ansalonga
12357,anyos
12358,arans
12359,arinsal
12360,aubinya
12361,auvinya
12362,bicisarri
12363,bixessarri
12364,bixisarri
12365,canillo
12366,casas vila
12367,certers
12368,certes
12369,eixirivall
12370,el pui
12371,els bons
12372,el serrat
12373,els plans
12374,el tarter
12375,el tremat
12376,el vilar
12377,encamp
12378,engordany
12379,ercs
12380,ercz
12381,erez
12382,erts
12383,escaldas
12384,escaldes
12385,escas
12386,fontaneda
12387,juberri
12388,juverri
12389,la cortinada
12390,la costa
12391,l'aldosa
12392,l'aldosa
12393,la macana
12394,la massana
12395,las escadas
12396,la vieja
12397,les bons
12398,les escaldes
12399,llors
12400,llorta
12401,llorts
12402,llumeneres
12403,lors
12404,lo serrat
12405,mas d'alins
12406,mas de ribafeta
12407,meritxell
12408,molleres
12409,mosquera
12410,nagol
12411,ordino
12412,pal
12413,pas de la casa
12414,prats
12415,puiol del piu
12416,ransol
12417,sanctuaire de meritxeli
12418,sanctuaire de meritxell
12419,san joan de casettas
12420,san julia
12421,santa coloma
12422,santa julia de loria
12423,sant joan de casellas
12424,sant joan de caselles
12425,sant julia de loria
12426,sant julia
12427,sant pere
12428,santuari de meritxell
12429,segudet
12430,sertes
12431,sispony
12432,soldeu
12433,sornas
12434,vila
12435,vixesarri
12436,xixerella
12437,abu dabi
12438,abu dhabi
12439,abu hail
12440,abu zabi
12441,abu zabye
12442,abu zabyo
12443,ad dharbaniya
12444,adgat
12445,adh dhaid
12446,adhin
12447,afarah
12448,`ain
12449,ain al ghamur
12450,`ain dhawahir
12451,ajima
12452,akamiya
12453,al abadilah
12454,al ain
12455,al ajman
12456,al `ayn
12457,al `ayn al ghamur
12458,al badiyah
12459,al bithnah
12460,al daid
12461,al-dhayd
12462,al dini
12463,al duss
12464,al fai
12465,al fiyya
12466,al-fudjayra
12467,al fuqait
12468,al fuyay'
12469,al-ghil
12470,algida
12471,al gissemari
12472,al hagarein
12473,al haira
12474,al hairah
12475,alhala
12476,al hama'im
12477,al hamra'
12478,al hamriya
12479,al hayir
12480,al hayl
12481,al hayl
12482,al hinya
12483,al-hirah
12484,al-humaimah
12485,al ian
12486,aliya
12487,al jazirah al hamra'
12488,al jima
12489,al jimi
12490,al khalabiya
12491,al kharan
12492,al khatt
12493,al khawiya
12494,al khulaybiyah
12495,al layyah
12496,al maham
12497,al-mariyya al-gharbyya
12498,al-mariyya
12499,al-mariyyah
12500,al-mirfa'
12501,al mu`taridh
12502,al muwaijh
12503,al muweiqi
12504,al-nashash
12505,al-naslah
12506,al odeid
12507,al-qatarah
12508,al qawr
12509,al qima
12510,al qor
12511,al-rol
12512,al saad
12513,al said
12514,al satwa
12515,al selimat
12516,al sharjah
12517,al-tarif
12518,al-'udaid
12519,al-`udeid
12520,al wathba
12521,an naslah
12522,aqqa
12523,`arada
12524,araibi
12525,ar ru'ays
12526,ash 'mariqah
12527,ash shariqa
12528,`asimah
12529,as salihiyah
12530,as saqamqam
12531,athaba
12532,at tarif
12533,at turayf
12534,`awanat
12535,ayaina
12536,ayn al faidah
12537,`ayn al ghamur
12538,`ayn zawahir
12539,badiya
12540,badiyyah
12541,bandar mirfah
12542,barahah
12543,batain
12544,batein
12545,bidayarat margham
12546,bidiya
12547,bidyah
12548,bid' zayed
12549,bilaida
12550,bilaidah
12551,bithna
12552,bithnah
12553,budayyah
12554,bulaidha
12555,chuwais
12556,daba al-ghurfah
12557,daba al-hisn
12558,daba
12559,dabei
12560,dadna
12561,dadnah
12562,dafir
12563,dafta
12564,daira
12565,dairah
12566,dasa
12567,datta
12568,dayd
12569,deira
12570,dhadna
12571,dhafir
12572,dhaiah
12573,dhaid
12574,dhaiyah
12575,dhawaihir
12576,dhayd
12577,dhuwaiher
12578,diba al hisn
12579,dibah
12580,dibai
12581,dibay
12582,dibba
12583,dibbah
12584,digdagga
12585,diq duqqah
12586,dirah
12587,dubai
12588,dubay
12589,duhayd
12590,duwaihir
12591,duwayhin
12592,el ain
12593,fahlain
